"","Year","Quarter","IntercatchMetierTag","VesselLenthCategory","Area","KWdays","DaysatSea","NoVessels","FDFVessel","Country","ID"
"115",2015,"Q2","OTM_DEF_32-69_0_0","=40m","27.4.a",3555.34513077662,1.04697916666667,9,NA,"NO",115
"116",2015,"Q2","OTM_DEF_32-69_0_0","=40m","27.4.b",32948.635256019,6.1928125,4,NA,"NO",116
"117",2015,"Q2","OTM_DEF_32-69_0_0","24<40m","27.4.a",589306.775120208,843.404166666667,1,NA,"NO",117
"118",2015,"Q2","OTM_DEF_40-54_0_0","=40m","27.6.a",8707.9555886796,1.69813657407407,8,NA,"NO",118
"119",2015,"Q2","OTM_DEF_55-64_0_0","=40m","27.6.a",125.136982638889,0.0347222222222222,1,NA,"NO",119
"120",2015,"Q2","OTM_SPF_16-31_0_0","=40m","27.4.c",31.1475654288889,0.012974537037037,1,NA,"NO",120
"121",2015,"Q2","PS_DEF_>0_0_0","=40m","27.6.a",2997.76623320139,0.739872685185185,3,NA,"NO",121
"122",2015,"Q2","PS_SPF_>0_0_0","=40m","27.4.a",3887.45289405069,1.43783043981481,3,NA,"NO",122
"123",2015,"Q2","PS_SPF_>0_0_0","=40m","27.4.c",33.1681105752315,0.00959490740740741,1,NA,"NO",123
"124",2015,"Q2","PS_SPF_>0_0_0","10<24m","27.4.a",0.111686885185185,0.000474537037037037,1,NA,"NO",124
"125",2015,"Q2","PS_SPF_>0_0_0","24<40m","27.4.a",847.4419478,0.892361111111111,2,NA,"NO",125
"126",2015,"Q2","PS_SPF_16-31_0_0","=40m","27.4.a",29.9647740740741,0.012037037037037,2,NA,"NO",126
"127",2015,"Q2","PS_SPF_16-31_0_0","=40m","27.4.c",35.2273375208333,0.00916666666666667,1,NA,"NO",127
"128",2015,"Q2","PS_SPF_32-69_0_0","=40m","27.4.a",29.8755607694444,0.0105324074074074,2,NA,"NO",128
"129",2015,"Q2","PTB_DEF_>=120_0_0","24<40m","27.3.a.20",504.537501867361,0.700694444444445,1,NA,"NO",129
"130",2015,"Q2","PTB_DEF_>=120_0_0","24<40m","27.4.a",292829.176550872,407.798449074074,3,NA,"NO",130
"131",2015,"Q2","PTB_DEF_>=120_0_0","24<40m","27.4.b",4866.85885560093,6.82747685185185,3,NA,"NO",131
"132",2015,"Q2","PTB_DEF_32-69_0_0","24<40m","27.3.a.20",135893.757666528,188.534722222222,1,NA,"NO",132
"133",2015,"Q2","PTB_DEF_32-69_0_0","24<40m","27.4.a",46834.2676703611,64.9763888888889,1,NA,"NO",133
"134",2015,"Q2","PTB_SPF_>=120_0_0","24<40m","27.4.a",26612.9237250128,37.0380208333333,3,NA,"NO",134
"135",2015,"Q2","PTB_SPF_32-69_0_0","24<40m","27.4.a",17330.9715475556,24.0444444444444,1,NA,"NO",135
"136",2015,"Q2","PTM_DEF_<16_0_0","=40m","27.4.b",0.580022683611111,0.000257716049382716,1,NA,"NO",136
"137",2015,"Q2","PTM_DEF_>=120_0_0","=40m","27.4.a",376.769578013889,0.121967592592593,1,NA,"NO",137
"138",2015,"Q2","PTM_DEF_16-31_0_0","=40m","27.3.a.20",52.0617519009259,0.021712962962963,1,NA,"NO",138
"139",2015,"Q2","PTM_DEF_16-31_0_0","=40m","27.4.a",6.483883371875,0.0021875,1,NA,"NO",139
"140",2015,"Q2","PTM_DEF_16-31_0_0","=40m","27.6.a",568.413036201389,0.115347222222222,1,NA,"NO",140
"141",2015,"Q2","PTM_DEF_32-39_0_0","=40m","27.6.a",3825.38048148385,0.951666666666667,4,NA,"NO",141
"142",2015,"Q2","PTM_DEF_32-69_0_0","=40m","27.3.a.20",15257.6832912106,3.24454861111111,5,NA,"NO",142
"143",2015,"Q2","PTM_DEF_32-69_0_0","=40m","27.4.a",7580.8526768533,1.72453703703704,10,NA,"NO",143
"144",2015,"Q2","PTM_DEF_32-69_0_0","=40m","27.4.b",39.4344088262731,0.0110289351851852,3,NA,"NO",144
"145",2015,"Q2","PTM_DEF_32-69_0_0","24<40m","27.4.a",154.250484722222,0.209722222222222,1,NA,"NO",145
"146",2015,"Q2","PTM_DEF_32-69_0_0","24<40m","27.4.b",469.391375694444,0.638194444444444,1,NA,"NO",146
"147",2015,"Q2","PTM_DEF_40-54_0_0","=40m","27.6.a",57239.1215110397,11.3206049382716,22,NA,"NO",147
"148",2015,"Q2","PTM_DEF_55-64_0_0","=40m","27.6.a",353.113240154398,0.127800925925926,3,NA,"NO",148
"149",2015,"Q2","PTM_DEF_70-99_0_0","=40m","27.6.a",249.757072925,0.0554861111111111,1,NA,"NO",149
"150",2015,"Q2","PTM_SPF_32-69_0_0","=40m","27.4.a",4.1831505625,0.00105324074074074,1,NA,"NO",150
"151",2015,"Q2","SSC_DEF_>=120_0_0","10<24m","27.3.a.20",4762.15171972222,9.96111111111111,1,NA,"NO",151
"152",2015,"Q2","SSC_DEF_>=120_0_0","10<24m","27.4.a",23177.6420809375,48.48125,1,NA,"NO",152
"153",2015,"Q2","SSC_DEF_>=120_0_0","10<24m","27.4.b",4543.03430930556,9.50277777777778,1,NA,"NO",153
"154",2015,"Q2","SSC_DEF_>=120_0_0","24<40m","27.3.a.20",72.1439391800926,0.0952314814814815,1,NA,"NO",154
"155",2015,"Q2","SSC_DEF_>=120_0_0","24<40m","27.4.a",43.4565838553241,0.0309837962962963,2,NA,"NO",155
"156",2015,"Q2","SSC_DEF_>=120_0_0","24<40m","27.4.b",68.5314813601852,0.090462962962963,1,NA,"NO",156
"157",2015,"Q2","SSC_DEF_16-31_0_0","10<24m","27.4.a",48.1394310763889,0.100694444444444,1,NA,"NO",157
